DatContrato;Ano;Mes;Contrato;CPF;NomCliente;VlrLiberado;VlrTAC;VlrFinanciado;VlrIOC;Seguro;CodProduto;Produto;TipoProduto;Loja;RazaoSocial;CNPJ_Loja;Filial;NomeFantasia;CNPJ_Filial;TaxaOperacao;Tabela;Plano;VlrParcela;PriVencimento
03/02/20;2020;2;cont1;99911122200;Nome Cliente 01;1265,53;0;1294,67;29,14;0;9909;Prod Nome;Tipo 027;1119;Nome Loja;1,99333E+13;123;Loja ABC 1;1,99333E+13;0,0388989;240;12;140;15/03/20
03/02/20;2020;2;cont2;99911122201;Nome Cliente 02;1239,21;0;1267,85;28,64;0;9909;Prod Nome;Tipo 028;1119;Nome Loja;1,99333E+13;123;Loja ABC 2;1,99333E+13;0,0560405;240;12;149,9;10/03/20
03/02/20;2020;2;cont3;99911122202;Nome Cliente 03;1333,68;0;1364,85;31,17;0;9909;Prod Nome;Tipo 029;1119;Nome Loja;1,99333E+13;123;Loja ABC 3;1,99333E+13;0,0654563;240;12;169,9;10/03/20
03/02/20;2020;2;cont4;99911122203;Nome Cliente 04;519,99;0;532,01;12,02;0;9909;Prod Nome;Tipo 030;1119;Nome Loja;1,99333E+13;123;Loja ABC 4;1,99333E+13;0,0560511;240;12;62,9;10/03/20
03/02/20;2020;2;cont5;99911122204;Nome Cliente 05;1813,75;0;1854,88;41,13;0;9909;Prod Nome;Tipo 031;1119;Nome Loja;1,99333E+13;123;Loja ABC 5;1,99333E+13;0,0662737;240;11;250;20/03/20
03/02/20;2020;2;cont6;99911122205;Nome Cliente 06;958,88;0;981,04;22,16;0;9909;Prod Nome;Tipo 032;1119;Nome Loja;1,99333E+13;123;Loja ABC 6;1,99333E+13;0,0560423;240;12;115,99;10/03/20
03/02/20;2020;2;cont7;99911122206;Nome Cliente 07;725;0;739,47;14,47;0;9909;Prod Nome;Tipo 033;1119;Nome Loja;1,99333E+13;123;Loja ABC 7;1,99333E+13;0,0560743;240;10;99,9;10/03/20
03/02/20;2020;2;cont8;99911122207;Nome Cliente 08;2698,76;0;2761,84;63,08;0;9909;Prod Nome;Tipo 034;1119;Nome Loja;1,99333E+13;123;Loja ABC 8;1,99333E+13;0,0654623;240;12;343,8;10/03/20
03/02/20;2020;2;cont9;99911122208;Nome Cliente 09;1431,88;0;1473,67;41,79;0;9909;Prod Nome;Tipo 035;1119;Nome Loja;1,99333E+13;123;Loja ABC 9;1,99333E+13;0,0661468;240;16;162;10/04/20
03/02/20;2020;2;cont10;99911122209;Nome Cliente 10;1769,93;0;1810,68;40,75;0;9909;Prod Nome;Tipo 036;1119;Nome Loja;1,99333E+13;123;Loja ABC 10;1,99333E+13;0,0388977;240;12;195,8;15/03/20
